Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1961","1961","t","339000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1962","1962","t","583000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1963","1963","t","545000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1964","1964","t","653000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1965","1965","t","529000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1966","1966","t","370000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1967","1967","t","332000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1968","1968","t","382000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1969","1969","t","447000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1970","1970","t","596015","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1971","1971","t","530276","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1972","1972","t","375227","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1973","1973","t","490041","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1974","1974","t","396800","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1975","1975","t","374600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1976","1976","t","363500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1977","1977","t","270000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1978","1978","t","391200","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1979","1979","t","363000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1980","1980","t","357200","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1981","1981","t","231800","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1982","1982","t","363100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1983","1983","t","311500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1984","1984","t","346600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1985","1985","t","305400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1986","1986","t","302600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1987","1987","t","284672","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1988","1988","t","268400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1989","1989","t","447673","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1990","1990","t","309059","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1991","1991","t","323220","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1992","1992","t","389400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1993","1993","t","355300","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1994","1994","t","349800","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1995","1995","t","260900","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1996","1996","t","223600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1997","1997","t","187000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1998","1998","t","183700","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","1999","1999","t","246400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2000","2000","t","208800","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2001","2001","t","211800","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2002","2002","t","179400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2003","2003","t","143900","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2004","2004","t","170400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2005","2005","t","218100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2006","2006","t","269239","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2007","2007","t","243100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2008","2008","t","242900","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2009","2009","t","229000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2010","2010","t","235450","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2011","2011","t","239890","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2012","2012","t","203550","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2013","2013","t","398500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2014","2014","t","451400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2015","2015","t","459600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2016","2016","t","481100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2017","2017","t","535300","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2018","2018","t","548721","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2019","2019","t","610443.91","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2020","2020","t","631597.46","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2021","2021","t","392459.39","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2022","2022","t","472969.27","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2023","2023","t","409221.7","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01341","Apples","2024","2024","t","408046.86","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1961","1961","t","1016","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1962","1962","t","1016","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1963","1963","t","1016","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1964","1964","t","1016","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1965","1965","t","1016","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1966","1966","t","1016","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1967","1967","t","711","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1968","1968","t","813","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1969","1969","t","610","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1970","1970","t","610","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1971","1971","t","711","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1972","1972","t","508","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1973","1973","t","610","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1974","1974","t","700","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1975","1975","t","600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1976","1976","t","600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1977","1977","t","600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1978","1978","t","400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1979","1979","t","300","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1980","1980","t","500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1981","1981","t","500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1982","1982","t","600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1983","1983","t","600","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1984","1984","t","770","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1985","1985","t","778","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1986","1986","t","1100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1987","1987","t","1100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1988","1988","t","1200","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1989","1989","t","1859","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1990","1990","t","1579","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1991","1991","t","1862","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1992","1992","t","1491","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1993","1993","t","1437","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1994","1994","t","1700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1995","1995","t","1750","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1996","1996","t","1950","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1997","1997","t","1800","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1998","1998","t","2100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","1999","1999","t","2000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2000","2000","t","1670","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2001","2001","t","1500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2002","2002","t","1700","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2003","2003","t","1700","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2004","2004","t","1700","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2005","2005","t","2300","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2006","2006","t","2400","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2007","2007","t","3000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2008","2008","t","3218","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2009","2009","t","3500","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2010","2010","t","3900","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2011","2011","t","5100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2012","2012","t","5370","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2013","2013","t","4920","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2014","2014","t","5792","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2015","2015","t","5393","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2016","2016","t","5855","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2017","2017","t","4958","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2018","2018","t","4984","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2019","2019","t","5023","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2020","2020","t","5262","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2021","2021","t","4317.56","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2022","2022","t","4257.76","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2023","2023","t","5211.5","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","01211","Asparagus","2024","2024","t","4951.2","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1961","1961","t","5053833","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1962","1962","t","5865657","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1963","1963","t","6704914","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1964","1964","t","7522834","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1965","1965","t","8191000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1966","1966","t","8730350","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1967","1967","t","9221300","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1968","1968","t","8277503","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1969","1969","t","8670401","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1970","1970","t","7534893","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1971","1971","t","8564794","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1972","1972","t","9251000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1973","1973","t","9013000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1974","1974","t","9140100","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1975","1975","t","8513000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1976","1976","t","7648000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1977","1977","t","10531000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1978","1978","t","9850000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1979","1979","t","9623000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1980","1980","t","10320000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1981","1981","t","10230000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1982","1982","t","10960000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1983","1983","t","9980000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1984","1984","t","11064000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1985","1985","t","9740000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1986","1986","t","10014000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1987","1987","t","9230000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1988","1988","t","8710000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1989","1989","t","8072655","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1990","1990","t","7897000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1991","1991","t","7624000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1992","1992","t","7360000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1993","1993","t","6038000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1994","1994","t","5945000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1995","1995","t","6834000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1996","1996","t","7753000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1997","1997","t","7828000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1998","1998","t","6623000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","1999","1999","t","6581000","A","Official figure",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0115","Barley","2000","2000","t","6492000","A","Official figure",""
