Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1961","1961","3050","FAO TIER 1","kg","62098738.5343","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1961","1961","3050","FAO TIER 1","kt","1.1954","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1961","1961","3050","FAO TIER 1","kt","0.9758","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1961","1961","3050","FAO TIER 1","kt","0.2196","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1962","1962","3050","FAO TIER 1","kg","71065297.8068","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1962","1962","3050","FAO TIER 1","kt","1.368","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1962","1962","3050","FAO TIER 1","kt","1.1167","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1962","1962","3050","FAO TIER 1","kt","0.2513","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1963","1963","3050","FAO TIER 1","kg","81577324.1097","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1963","1963","3050","FAO TIER 1","kt","1.5704","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1963","1963","3050","FAO TIER 1","kt","1.2819","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1963","1963","3050","FAO TIER 1","kt","0.2884","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1964","1964","3050","FAO TIER 1","kg","90962116.0077","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1964","1964","3050","FAO TIER 1","kt","1.751","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1964","1964","3050","FAO TIER 1","kt","1.4294","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1964","1964","3050","FAO TIER 1","kt","0.3216","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1965","1965","3050","FAO TIER 1","kg","98853647.6936","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1965","1965","3050","FAO TIER 1","kt","1.9029","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1965","1965","3050","FAO TIER 1","kt","1.5534","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1965","1965","3050","FAO TIER 1","kt","0.3495","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1966","1966","3050","FAO TIER 1","kg","106216179.4272","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1966","1966","3050","FAO TIER 1","kt","2.0447","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1966","1966","3050","FAO TIER 1","kt","1.6691","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1966","1966","3050","FAO TIER 1","kt","0.3756","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1967","1967","3050","FAO TIER 1","kg","111195586.6125","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1967","1967","3050","FAO TIER 1","kt","2.1405","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1967","1967","3050","FAO TIER 1","kt","1.7474","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1967","1967","3050","FAO TIER 1","kt","0.3932","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1968","1968","3050","FAO TIER 1","kg","100975232.2064","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1968","1968","3050","FAO TIER 1","kt","1.9438","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1968","1968","3050","FAO TIER 1","kt","1.5868","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1968","1968","3050","FAO TIER 1","kt","0.357","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1969","1969","3050","FAO TIER 1","kg","105208687.5538","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1969","1969","3050","FAO TIER 1","kt","2.0253","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1969","1969","3050","FAO TIER 1","kt","1.6533","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1969","1969","3050","FAO TIER 1","kt","0.372","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1970","1970","3050","FAO TIER 1","kg","92228645.0251","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1970","1970","3050","FAO TIER 1","kt","1.7754","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1970","1970","3050","FAO TIER 1","kt","1.4493","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1970","1970","3050","FAO TIER 1","kt","0.3261","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1971","1971","3050","FAO TIER 1","kg","103406202.5121","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1971","1971","3050","FAO TIER 1","kt","1.9906","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1971","1971","3050","FAO TIER 1","kt","1.625","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1971","1971","3050","FAO TIER 1","kt","0.3656","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1972","1972","3050","FAO TIER 1","kg","110682823.4748","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1972","1972","3050","FAO TIER 1","kt","2.1306","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1972","1972","3050","FAO TIER 1","kt","1.7393","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1972","1972","3050","FAO TIER 1","kt","0.3913","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1973","1973","3050","FAO TIER 1","kg","108044807.0005","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1973","1973","3050","FAO TIER 1","kt","2.0799","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1973","1973","3050","FAO TIER 1","kt","1.6978","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1973","1973","3050","FAO TIER 1","kt","0.382","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1974","1974","3050","FAO TIER 1","kg","109104369.5072","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1974","1974","3050","FAO TIER 1","kt","2.1003","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1974","1974","3050","FAO TIER 1","kt","1.7145","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1974","1974","3050","FAO TIER 1","kt","0.3858","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1975","1975","3050","FAO TIER 1","kg","103156863.646","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1975","1975","3050","FAO TIER 1","kt","1.9858","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1975","1975","3050","FAO TIER 1","kt","1.621","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1975","1975","3050","FAO TIER 1","kt","0.3647","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72392","Crop residues (N content)","0115","Barley","1976","1976","3050","FAO TIER 1","kg","93085556.6497","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72302","Crop residues (Emissions N2O)","0115","Barley","1976","1976","3050","FAO TIER 1","kt","1.7919","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72342","Crop residues (Direct emissions N2O)","0115","Barley","1976","1976","3050","FAO TIER 1","kt","1.4628","E","Estimated value",""
"GCE","Emissions from Crops","826","United Kingdom of Great Britain and Northern Ireland","72362","Crop residues (Indirect emissions N2O)","0115","Barley","1976","1976","3050","FAO TIER 1","kt","0.3291","E","Estimated value",""
