area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1961,kg,62098738.5343
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1961,kt,1.1954
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1961,kt,0.9758
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1961,kt,0.2196
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1962,kg,71065297.8068
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1962,kt,1.368
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1962,kt,1.1167
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1962,kt,0.2513
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1963,kg,81577324.1097
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1963,kt,1.5704
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1963,kt,1.2819
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1963,kt,0.2884
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1964,kg,90962116.0077
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1964,kt,1.751
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1964,kt,1.4294
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1964,kt,0.3216
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1965,kg,98853647.6936
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1965,kt,1.9029
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1965,kt,1.5534
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1965,kt,0.3495
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1966,kg,106216179.4272
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1966,kt,2.0447
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1966,kt,1.6691
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1966,kt,0.3756
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1967,kg,111195586.6125
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1967,kt,2.1405
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1967,kt,1.7474
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1967,kt,0.3932
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1968,kg,100975232.2064
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1968,kt,1.9438
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1968,kt,1.5868
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1968,kt,0.357
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1969,kg,105208687.5538
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1969,kt,2.0253
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1969,kt,1.6533
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1969,kt,0.372
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1970,kg,92228645.0251
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1970,kt,1.7754
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1970,kt,1.4493
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1970,kt,0.3261
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1971,kg,103406202.5121
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1971,kt,1.9906
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1971,kt,1.625
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1971,kt,0.3656
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1972,kg,110682823.4748
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1972,kt,2.1306
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1972,kt,1.7393
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1972,kt,0.3913
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1973,kg,108044807.0005
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1973,kt,2.0799
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1973,kt,1.6978
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1973,kt,0.382
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1974,kg,109104369.5072
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1974,kt,2.1003
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1974,kt,1.7145
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1974,kt,0.3858
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1975,kg,103156863.646
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1975,kt,1.9858
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1975,kt,1.621
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1975,kt,0.3647
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1976,kg,93085556.6497
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1976,kt,1.7919
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1976,kt,1.4628
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1976,kt,0.3291
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1977,kg,124871600.957
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Emissions N2O),1977,kt,2.4038
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Direct emissions N2O),1977,kt,1.9623
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (Indirect emissions N2O),1977,kt,0.4415
United Kingdom of Great Britain and Northern Ireland,Barley,Crop residues (N content),1978,kg,117379989.6934
