Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","5111","Stocks","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","An","4215052","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72431","Livestock total (Emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","12.866","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","581.6772","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72254","Enteric fermentation (Emissions CH4)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","493.1611","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72386","Manure management (manure treated, N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","354469012.992","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72256","Manure management (Emissions CH4)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","88.5161","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72306","Manure management (Emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","4.3385","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72346","Manure management (Direct emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","2.5414","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72366","Manure management (Indirect emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","1.7971","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","88617253.248","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723802","Manure left on pasture that leaches (N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","26585175.9744","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723801","Manure left on pasture that volatilises (N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","17723450.6496","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72300","Manure left on pasture (Emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","3.377","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72340","Manure left on pasture (Direct emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","2.7851","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","0.3133","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","0.2785","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72360","Manure left on pasture (Indirect emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","0.5918","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72381","Manure applied to soils (N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","230008441.2343","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723812","Manure applied to soils that leaches (N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","69002532.3703","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723811","Manure applied to soils that volatilises (N content)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kg","46001688.2469","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72301","Emissions (N2O) (Manure applied)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","5.1505","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72341","Manure applied to soils (Direct emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","3.6144","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723612","Indirect emissions (N2O that leaches) (Manure applied)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","0.8132","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723611","Indirect emissions (N2O that volatilises) (Manure applied)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","0.7229","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72361","Manure applied to soils (Indirect emissions N2O)","F0960","Cattle, dairy","1961","1961","3050","FAO TIER 1","kt","1.5361","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","5111","Stocks","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","An","3333876","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72431","Livestock total (Emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","10.1763","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","460.0749","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72254","Enteric fermentation (Emissions CH4)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","390.0635","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72386","Manure management (manure treated, N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","280365636.096","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72256","Manure management (Emissions CH4)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","70.0114","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72306","Manure management (Emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","3.4315","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72346","Manure management (Direct emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","2.0101","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72366","Manure management (Indirect emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","1.4214","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","70091409.024","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723802","Manure left on pasture that leaches (N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","21027422.7072","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723801","Manure left on pasture that volatilises (N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","14018281.8048","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72300","Manure left on pasture (Emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","2.671","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72340","Manure left on pasture (Direct emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","2.2029","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","0.2478","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","0.2203","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72360","Manure left on pasture (Indirect emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","0.4681","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72381","Manure applied to soils (N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","181924119.0924","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723812","Manure applied to soils that leaches (N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","54577235.7277","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723811","Manure applied to soils that volatilises (N content)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kg","36384823.8185","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72301","Emissions (N2O) (Manure applied)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","4.0738","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72341","Manure applied to soils (Direct emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","2.8588","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723612","Indirect emissions (N2O that leaches) (Manure applied)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","0.6432","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723611","Indirect emissions (N2O that volatilises) (Manure applied)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","0.5718","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72361","Manure applied to soils (Indirect emissions N2O)","F0960","Cattle, dairy","1962","1962","3050","FAO TIER 1","kt","1.215","E","Estimated value",""
