Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","5111","Stocks","F1755","All Animals","1961","1961","3050","FAO TIER 1","An","161450159","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72431","Livestock total (Emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","39.2547","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72441","Livestock total (Emissions CH4)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","1369.227","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72254","Enteric fermentation (Emissions CH4)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","1180.0774","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72386","Manure management (manure treated, N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","806944168.1171","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72256","Manure management (Emissions CH4)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","189.1496","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72306","Manure management (Emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","9.0488","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72346","Manure management (Direct emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","5.8568","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72366","Manure management (Indirect emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","3.192","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","601376527.9707","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723802","Manure left on pasture that leaches (N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","180412958.3912","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723801","Manure left on pasture that volatilises (N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","120275305.5941","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72300","Manure left on pasture (Emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","16.8529","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72340","Manure left on pasture (Direct emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","12.8366","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","2.1263","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","1.89","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72360","Manure left on pasture (Indirect emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","4.0163","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72381","Manure applied to soils (N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","596305147.2259","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723812","Manure applied to soils that leaches (N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","178891544.1678","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723811","Manure applied to soils that volatilises (N content)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kg","119261029.4452","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72301","Emissions (N2O) (Manure applied)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","13.353","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72341","Manure applied to soils (Direct emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","9.3705","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723612","Indirect emissions (N2O that leaches) (Manure applied)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","2.1084","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723611","Indirect emissions (N2O that volatilises) (Manure applied)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","1.8741","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72361","Manure applied to soils (Indirect emissions N2O)","F1755","All Animals","1961","1961","3050","FAO TIER 1","kt","3.9825","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","5111","Stocks","F1755","All Animals","1962","1962","3050","FAO TIER 1","An","157389748","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72431","Livestock total (Emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","38.122","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72441","Livestock total (Emissions CH4)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","1307.4459","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72254","Enteric fermentation (Emissions CH4)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","1128.0504","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72386","Manure management (manure treated, N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","765965465.5541","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72256","Manure management (Emissions CH4)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","179.3955","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72306","Manure management (Emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","8.5108","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72346","Manure management (Direct emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","5.5485","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72366","Manure management (Indirect emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","2.9623","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","602719022.257","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723802","Manure left on pasture that leaches (N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","180815706.6771","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723801","Manure left on pasture that volatilises (N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","120543804.4514","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72300","Manure left on pasture (Emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","16.7953","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72340","Manure left on pasture (Direct emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","12.77","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723602","Indirect emissions (N2O that leaches) (Manure on pasture)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","2.131","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723601","Indirect emissions (N2O that volatilises) (Manure on pasture)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","1.8943","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72360","Manure left on pasture (Indirect emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","4.0253","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72381","Manure applied to soils (N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","572320004.5991","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723812","Manure applied to soils that leaches (N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","171696001.3797","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723811","Manure applied to soils that volatilises (N content)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kg","114464000.9198","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72301","Emissions (N2O) (Manure applied)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","12.8159","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","72341","Manure applied to soils (Direct emissions N2O)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","8.9936","E","Estimated value",""
"GLE","Emissions from Livestock","826","United Kingdom of Great Britain and Northern Ireland","723612","Indirect emissions (N2O that leaches) (Manure applied)","F1755","All Animals","1962","1962","3050","FAO TIER 1","kt","2.0236","E","Estimated value",""
