area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,All Animals,Stocks,1961,An,161450159
United Kingdom of Great Britain and Northern Ireland,All Animals,Livestock total (Emissions N2O),1961,kt,39.2547
United Kingdom of Great Britain and Northern Ireland,All Animals,Livestock total (Emissions CH4),1961,kt,1369.227
United Kingdom of Great Britain and Northern Ireland,All Animals,Enteric fermentation (Emissions CH4),1961,kt,1180.0774
United Kingdom of Great Britain and Northern Ireland,All Animals,"Manure management (manure treated, N content)",1961,kg,806944168.1171
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Emissions CH4),1961,kt,189.1496
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Emissions N2O),1961,kt,9.0488
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Direct emissions N2O),1961,kt,5.8568
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure management (Indirect emissions N2O),1961,kt,3.192
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (N content),1961,kg,601376527.9707
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture that leaches (N content),1961,kg,180412958.3912
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture that volatilises (N content),1961,kg,120275305.5941
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Emissions N2O),1961,kt,16.8529
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Direct emissions N2O),1961,kt,12.8366
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that leaches) (Manure on pasture),1961,kt,2.1263
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that volatilises) (Manure on pasture),1961,kt,1.89
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure left on pasture (Indirect emissions N2O),1961,kt,4.0163
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (N content),1961,kg,596305147.2259
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils that leaches (N content),1961,kg,178891544.1678
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils that volatilises (N content),1961,kg,119261029.4452
United Kingdom of Great Britain and Northern Ireland,All Animals,Emissions (N2O) (Manure applied),1961,kt,13.353
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (Direct emissions N2O),1961,kt,9.3705
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that leaches) (Manure applied),1961,kt,2.1084
United Kingdom of Great Britain and Northern Ireland,All Animals,Indirect emissions (N2O that volatilises) (Manure applied),1961,kt,1.8741
United Kingdom of Great Britain and Northern Ireland,All Animals,Manure applied to soils (Indirect emissions N2O),1961,kt,3.9825
United Kingdom of Great Britain and Northern Ireland,All Animals,Stocks,1962,An,157389748
