area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Stocks,1961,An,4215052
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions N2O),1961,kt,12.866
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions CH4),1961,kt,581.6772
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Enteric fermentation (Emissions CH4),1961,kt,493.1611
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy","Manure management (manure treated, N content)",1961,kg,354469012.992
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions CH4),1961,kt,88.5161
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions N2O),1961,kt,4.3385
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Direct emissions N2O),1961,kt,2.5414
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Indirect emissions N2O),1961,kt,1.7971
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (N content),1961,kg,88617253.248
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that leaches (N content),1961,kg,26585175.9744
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that volatilises (N content),1961,kg,17723450.6496
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Emissions N2O),1961,kt,3.377
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Direct emissions N2O),1961,kt,2.7851
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure on pasture),1961,kt,0.3133
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure on pasture),1961,kt,0.2785
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Indirect emissions N2O),1961,kt,0.5918
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (N content),1961,kg,230008441.2343
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that leaches (N content),1961,kg,69002532.3703
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that volatilises (N content),1961,kg,46001688.2469
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Emissions (N2O) (Manure applied),1961,kt,5.1505
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (Direct emissions N2O),1961,kt,3.6144
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure applied),1961,kt,0.8132
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure applied),1961,kt,0.7229
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (Indirect emissions N2O),1961,kt,1.5361
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Stocks,1962,An,3333876
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions N2O),1962,kt,10.1763
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions CH4),1962,kt,460.0749
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Enteric fermentation (Emissions CH4),1962,kt,390.0635
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy","Manure management (manure treated, N content)",1962,kg,280365636.096
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions CH4),1962,kt,70.0114
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions N2O),1962,kt,3.4315
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Direct emissions N2O),1962,kt,2.0101
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Indirect emissions N2O),1962,kt,1.4214
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (N content),1962,kg,70091409.024
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that leaches (N content),1962,kg,21027422.7072
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that volatilises (N content),1962,kg,14018281.8048
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Emissions N2O),1962,kt,2.671
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Direct emissions N2O),1962,kt,2.2029
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure on pasture),1962,kt,0.2478
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure on pasture),1962,kt,0.2203
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Indirect emissions N2O),1962,kt,0.4681
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (N content),1962,kg,181924119.0924
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that leaches (N content),1962,kg,54577235.7277
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that volatilises (N content),1962,kg,36384823.8185
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Emissions (N2O) (Manure applied),1962,kt,4.0738
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (Direct emissions N2O),1962,kt,2.8588
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure applied),1962,kt,0.6432
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure applied),1962,kt,0.5718
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (Indirect emissions N2O),1962,kt,1.215
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Stocks,1963,An,3286638
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions N2O),1963,kt,10.0321
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions CH4),1963,kt,453.556
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Enteric fermentation (Emissions CH4),1963,kt,384.5366
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy","Manure management (manure treated, N content)",1963,kg,276393109.248
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions CH4),1963,kt,69.0194
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions N2O),1963,kt,3.3829
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Direct emissions N2O),1963,kt,1.9816
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Indirect emissions N2O),1963,kt,1.4013
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (N content),1963,kg,69098277.312
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that leaches (N content),1963,kg,20729483.1936
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that volatilises (N content),1963,kg,13819655.4624
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Emissions N2O),1963,kt,2.6331
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Direct emissions N2O),1963,kt,2.1717
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure on pasture),1963,kt,0.2443
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure on pasture),1963,kt,0.2172
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Indirect emissions N2O),1963,kt,0.4615
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (N content),1963,kg,179346419.2806
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that leaches (N content),1963,kg,53803925.7842
