Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1990","1990","kt","149.762353","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1991","1991","kt","193.133859","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1992","1992","kt","232.557149","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1993","1993","kt","269.523924","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1994","1994","kt","316.013058","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1995","1995","kt","356.730479","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1996","1996","kt","403.313315","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1997","1997","kt","453.148838","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1998","1998","kt","501.471967","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","1999","1999","kt","554.704849","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2000","2000","kt","597.831625","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2001","2001","kt","645.884315","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2002","2002","kt","972.555705","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2003","2003","kt","1044.894934","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6504","Fertilizers Manufacturing","2004","2004","kt","1026.220632","E","Estimated value"
