Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1990","1990","kt","66314.860577","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1991","1991","kt","67523.351593","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1992","1992","kt","68089.09225","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1993","1993","kt","65300.543709","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1994","1994","kt","63151.296102","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1995","1995","kt","61706.391604","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1996","1996","kt","63275.325255","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1997","1997","kt","60148.599387","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1998","1998","kt","59006.48236","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","1999","1999","kt","57930.289485","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2000","2000","kt","57712.010868","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2001","2001","kt","59280.135472","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2002","2002","kt","58536.007712","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2003","2003","kt","58724.36737","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2004","2004","kt","59635.815719","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2005","2005","kt","59165.544465","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2006","2006","kt","58832.955643","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2007","2007","kt","57354.655202","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2008","2008","kt","55739.401449","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2009","2009","kt","49955.208752","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2010","2010","kt","51817.522221","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2011","2011","kt","49087.454545","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2012","2012","kt","51951.147379","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2013","2013","kt","50096.929423","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2014","2014","kt","45691.7245","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2015","2015","kt","42459.387687","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2016","2016","kt","38356.577631","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2017","2017","kt","36671.612511","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2018","2018","kt","36487.892109","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2019","2019","kt","35207.124836","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2020","2020","kt","32591.706571","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2021","2021","kt","34155.745285","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","826","United Kingdom of Great Britain and Northern Ireland","7273","Emissions (CO2)","6517","Pre- and post-production","2022","2022","kt","32527.282739","E","Estimated value"
