area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1990,kt,66314.860577
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1991,kt,67523.351593
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1992,kt,68089.09225
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1993,kt,65300.543709
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1994,kt,63151.296102
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1995,kt,61706.391604
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1996,kt,63275.325255
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1997,kt,60148.599387
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1998,kt,59006.48236
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),1999,kt,57930.289485
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2000,kt,57712.010868
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2001,kt,59280.135472
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2002,kt,58536.007712
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2003,kt,58724.36737
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2004,kt,59635.815719
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2005,kt,59165.544465
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2006,kt,58832.955643
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2007,kt,57354.655202
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2008,kt,55739.401449
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2009,kt,49955.208752
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2010,kt,51817.522221
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2011,kt,49087.454545
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2012,kt,51951.147379
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2013,kt,50096.929423
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2014,kt,45691.7245
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2015,kt,42459.387687
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2016,kt,38356.577631
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2017,kt,36671.612511
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2018,kt,36487.892109
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2019,kt,35207.124836
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2020,kt,32591.706571
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2021,kt,34155.745285
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2022,kt,32527.282739
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2),2023,kt,32527.971755
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1990,kt,235.109464
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1991,kt,239.057469
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1992,kt,241.514469
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1993,kt,243.986342
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1994,kt,244.387521
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1995,kt,248.005045
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1996,kt,243.033454
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1997,kt,246.689121
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1998,kt,410.985581
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),1999,kt,236.985175
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2000,kt,230.025908
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2001,kt,222.516003
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2002,kt,239.149212
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2003,kt,234.714475
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2004,kt,231.544603
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2005,kt,572.484763
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2006,kt,606.539884
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2007,kt,210.200439
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2008,kt,212.012892
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2009,kt,223.123967
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2010,kt,222.905671
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2011,kt,223.486372
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2012,kt,214.453229
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2013,kt,215.323302
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2014,kt,210.389691
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2015,kt,206.463229
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2016,kt,207.565233
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2017,kt,207.302565
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2018,kt,208.36008
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2019,kt,208.768097
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2020,kt,208.7841
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2021,kt,209.485311
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2022,kt,210.215032
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CH4),2023,kt,211.009727
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1990,kt,4.511904
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1991,kt,4.522549
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1992,kt,4.571911
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1993,kt,4.521114
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1994,kt,4.523537
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1995,kt,4.477021
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1996,kt,4.578479
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1997,kt,4.650834
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1998,kt,4.626835
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),1999,kt,4.68273
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2000,kt,4.702964
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2001,kt,4.821176
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2002,kt,5.103732
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2003,kt,5.157772
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2004,kt,5.131653
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2005,kt,5.161751
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2006,kt,5.128247
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2007,kt,5.132702
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2008,kt,5.101921
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2009,kt,5.226251
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2010,kt,5.231605
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2011,kt,5.309809
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2012,kt,5.296065
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2013,kt,5.280222
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2014,kt,5.367229
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2015,kt,5.386402
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2016,kt,5.421408
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2017,kt,5.439269
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2018,kt,5.472992
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2019,kt,5.421025
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2020,kt,5.432377
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2021,kt,5.466791
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (N2O),2022,kt,5.512175
