area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1990,kt,149.762353
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1991,kt,193.133859
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1992,kt,232.557149
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1993,kt,269.523924
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1994,kt,316.013058
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1995,kt,356.730479
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1996,kt,403.313315
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1997,kt,453.148838
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1998,kt,501.471967
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),1999,kt,554.704849
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2000,kt,597.831625
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2001,kt,645.884315
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2002,kt,972.555705
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2003,kt,1044.894934
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2004,kt,1026.220632
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2005,kt,995.463585
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2006,kt,889.147276
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2007,kt,899.733543
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2008,kt,949.777816
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2009,kt,1037.342778
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2010,kt,1035.941533
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2011,kt,1112.779915
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2012,kt,1140.383177
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2013,kt,1151.477502
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2014,kt,1190.75493
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2015,kt,1173.702174
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2016,kt,1242.310077
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2017,kt,1301.739895
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2018,kt,1319.147945
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2019,kt,1331.00923
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2020,kt,1440.814505
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2021,kt,1483.95016
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2022,kt,1483.95016
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),2023,kt,1483.95016
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1990,kt,0.079916
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1991,kt,0.105388
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1992,kt,0.128667
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1993,kt,0.150526
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1994,kt,0.177694
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1995,kt,0.201625
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1996,kt,0.228876
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1997,kt,0.257994
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1998,kt,0.286269
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),1999,kt,0.317366
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2000,kt,0.34269
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2001,kt,0.370839
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2002,kt,0.551428
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2003,kt,0.582413
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2004,kt,0.58187
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2005,kt,0.592413
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2006,kt,0.513383
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2007,kt,0.519906
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2008,kt,0.549216
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2009,kt,0.600242
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2010,kt,0.599788
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2011,kt,0.644628
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2012,kt,0.66095
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2013,kt,0.667691
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2014,kt,0.690763
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2015,kt,0.681143
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2016,kt,0.721227
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2017,kt,0.755992
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2018,kt,0.766352
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2019,kt,0.773479
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2020,kt,0.837529
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2021,kt,0.862837
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2022,kt,0.862837
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),2023,kt,0.862837
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1990,kt,170.940093
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1991,kt,221.061679
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1992,kt,266.653904
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1993,kt,309.413314
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1994,kt,363.101968
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1995,kt,410.161104
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),1996,kt,463.965455
