Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7234,Direct emissions (N2O),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kt,2.0405,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7236,Indirect emissions (N2O),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kt,0.4591,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7230,Emissions (N2O),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kt,2.4996,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kt,662.394,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1961,1961,3050,FAO TIER 1,kt,662.394,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7234,Direct emissions (N2O),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kt,2.4314,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7236,Indirect emissions (N2O),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kt,0.5471,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7230,Emissions (N2O),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kt,2.9785,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kt,789.3025,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1962,1962,3050,FAO TIER 1,kt,789.3025,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7234,Direct emissions (N2O),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kt,2.3739,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7236,Indirect emissions (N2O),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kt,0.5341,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7230,Emissions (N2O),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kt,2.9081,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kt,770.6465,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1963,1963,3050,FAO TIER 1,kt,770.6465,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7234,Direct emissions (N2O),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kt,2.6491,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7236,Indirect emissions (N2O),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kt,0.5961,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7230,Emissions (N2O),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kt,3.2452,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kt,859.978,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1964,1964,3050,FAO TIER 1,kt,859.978,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7234,Direct emissions (N2O),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kt,2.8307,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7236,Indirect emissions (N2O),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kt,0.6369,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7230,Emissions (N2O),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kt,3.4676,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kt,918.914,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1965,1965,3050,FAO TIER 1,kt,918.914,E,Estimated value,,
GT,Emissions totals,826,United Kingdom of Great Britain and Northern Ireland,7234,Direct emissions (N2O),5064,Crop Residues,1966,1966,3050,FAO TIER 1,kt,2.7609,E,Estimated value,,
