area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1961,kt,2.0405
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1961,kt,0.4591
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1961,kt,2.4996
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1961,kt,662.394
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1961,kt,662.394
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1962,kt,2.4314
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1962,kt,0.5471
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1962,kt,2.9785
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1962,kt,789.3025
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1962,kt,789.3025
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1963,kt,2.3739
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1963,kt,0.5341
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1963,kt,2.9081
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1963,kt,770.6465
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1963,kt,770.6465
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1964,kt,2.6491
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1964,kt,0.5961
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1964,kt,3.2452
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1964,kt,859.978
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1964,kt,859.978
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1965,kt,2.8307
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1965,kt,0.6369
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1965,kt,3.4676
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1965,kt,918.914
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1965,kt,918.914
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1966,kt,2.7609
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1966,kt,0.6212
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1966,kt,3.3821
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1966,kt,896.2565
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1966,kt,896.2565
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1967,kt,2.9762
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1967,kt,0.6697
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1967,kt,3.6459
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1967,kt,966.1635
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1967,kt,966.1635
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1968,kt,2.707
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Indirect emissions (N2O),1968,kt,0.6091
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (N2O),1968,kt,3.3161
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) from N2O (AR5),1968,kt,878.7665
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Emissions (CO2eq) (AR5),1968,kt,878.7665
United Kingdom of Great Britain and Northern Ireland,Crop Residues,Direct emissions (N2O),1969,kt,2.7327
